,종목코드,종목명,결산월,액면가,자본금,상장주식,신용비율,연중최고,연중최저,시가총액,시가총액비중,외인소진률,대용가,PER,EPS,ROE,PBR,EV,BPS,매출액,영업이익,당기순이익,250최고,250최저,시가,고가,저가,상한가,하한가,기준가,예상체결가,예상체결수량,250최고가일,250최고가대비율,250최저가일,250최저가대비율,현재가,대비기호,전일대비,등락율,거래량,거래대비,액면가단위,유통주식,유통비율
0,007310,오뚜기,12,5000,184,3672,+0.18,+602000,-506000,19058,,+12.65,404040,17.72,29293,7.9,1.18,6.51,440425,25959,1984,1104,+620000,-506000,518000,+524000,518000,+673000,-363000,518000,-0,0,20200831,-16.29,20210820,+2.57,+519000,2,+1000,+0.19,2286,-70.71,원,1272,34.7
0,032500,케이엠더블유,12,500,199,39821,+3.21,+86000,-42400,17302,,+8.70,32040,64.95,669,11.5,7.09,38.02,6127,3385,327,266,+89500,-42400,-42950,+44200,-42400,+56200,-30350,43300,-0,0,20200908,-51.45,20210827,+2.48,+43450,2,+150,+0.35,274303,-41.34,원,25134,63.1
0,178920,PI첨단소재,12,500,147,29366,+1.12,+67800,-36200,17179,,+18.27,40740,41.17,1421,15.6,4.76,20.88,12292,2618,600,417,+67800,-27700,-57600,+58800,-57300,+75600,-40800,58200,-0,0,20210813,-13.72,20200925,+111.19,+58500,2,+300,+0.52,106233,-58.04,원,13400,45.6
0,041510,에스엠,12,500,118,23670,+5.67,+75600,-28500,17066,,+22.44,56780,,-2992,-16.0,3.82,17.53,18875,5799,65,-803,+75600,-27850,-71500,+75500,-70200,+94600,-51000,72800,-0,0,20210825,-4.63,20201223,+158.89,-72100,5,-700,-0.96,901134,+124.43,원,18672,79.4
0,067160,아프리카TV,12,500,57,11495,+0.68,+163900,-59400,17242,,+52.25,114070,47.12,3184,27.6,10.76,25.18,13936,1966,504,363,+163900,-51100,-150000,+151800,-147500,+195100,-105100,150100,-0,0,20210824,-8.48,20200925,+193.54,-150000,5,-100,-0.07,75160,-69.80,원,7914,68.9
0,098460,고영,12,100,69,68655,+0.36,+155300,-22150,15619,,+65.85,15890,170.49,133,3.7,6.00,54.06,3792,1795,158,92,+155300,-22150,-22550,+23050,-22550,+29500,-15900,22700,-0,0,20210120,-85.35,20210820,+2.71,+22750,2,+50,+0.22,80401,-76.66,원,53347,77.7
0,140410,메지온,12,500,45,8900,+0.44,+200000,-128300,16510,,+18.65,131390,,-1584,-27.8,29.04,,6388,286,-75,-138,+235000,-128300,+189300,+193400,-183500,+244000,-131400,187700,-0,0,20200826,-21.06,20210608,+44.58,-185500,5,-2200,-1.17,80803,-59.78,원,6946,78.0
0,213420,덕산네오룩스,12,200,48,24010,+0.92,+72100,-33000,16303,,+17.58,51450,48.89,1389,18.9,8.45,35.05,8034,1442,401,333,+72100,-27800,-67500,+68900,-66200,+88000,-47400,67700,-0,0,20210811,-5.83,20201027,+144.24,+67900,2,+200,+0.30,162000,+165.20,원,10292,42.9
0,000240,한국앤컴퍼니,12,500,475,94935,+0.91,+23400,-14150,16139,,+9.68,11830,9.33,1822,5.1,0.47,7.46,36556,8209,1565,1796,+23400,-13600,+17150,+17250,-16800,+21950,-11850,16900,-0,0,20210223,-27.35,20200825,+25.00,+17000,2,+100,+0.59,109310,-86.12,원,26170,27.6
0,003000,부광약품,12,500,364,71063,+6.40,+31100,-17600,15563,,+4.67,16050,,-101,-2.5,5.04,146.11,4345,1697,40,-101,+44300,-17600,-22150,+22650,-21900,+28950,-15650,22300,-0,0,20200828,-50.56,20210820,+24.43,-21900,5,-400,-1.79,1676953,-46.02,원,52984,74.6
0,005250,녹십자홀딩스,12,500,253,47028,+2.48,+56300,-28050,15566,,+5.34,23640,9.59,3451,19.7,1.75,17.22,18925,17193,707,1800,+56300,-21400,+32000,+33800,-31550,+41500,-22400,31950,-0,0,20210106,-41.21,20201020,+54.67,+33100,2,+1150,+3.60,478967,+342.15,원,21103,44.9
0,011000,진원생명과학,12,1000,452,45212,+0.16,+58800,-10900,15575,,+14.52,21390,,-468,-30.4,15.29,,2253,415,-185,-186,+58800,-10900,-34200,+36150,-33250,+44850,-24150,34500,-0,0,20210708,-41.41,20210407,+216.06,-34450,5,-50,-0.14,2673175,+179.59,원,40979,90.6
0,042700,한미반도체,12,200,127,49460,+2.05,+41350,-16750,17064,,+7.38,25780,35.76,965,21.0,6.44,22.33,5357,2574,666,501,+41350,-9740,34850,34850,-34050,+45300,-24400,34850,-0,0,20210722,-16.57,20200828,+254.21,-34500,5,-350,-1.00,219133,-78.75,원,21734,43.9
0,051600,한전KPS,12,200,90,45000,+1.02,+50800,-26700,16718,,+9.39,29010,19.20,1935,8.2,1.59,8.20,23371,13032,1354,871,+50800,-26700,-37000,+37600,-36800,+48350,-26050,37200,-0,0,20210607,-26.87,20200925,+39.14,-37150,5,-50,-0.13,97103,-82.01,원,21943,48.8
0,139130,DGB금융지주,12,5000,8457,169146,+0.23,+9790,-6360,15764,,+49.29,7030,4.74,1965,6.9,0.32,,29493,20746,4900,3768,+9790,-5220,9250,+9400,-9160,+12000,-6480,9250,-0,0,20210604,-4.80,20200924,+78.54,+9320,2,+70,+0.76,682663,-93.16,원,141371,83.6
0,175330,JB금융지주,12,5000,9849,196983,+0.14,+8350,-5160,16350,,+40.92,6090,4.50,1845,10.1,0.43,,19147,18135,4695,3908,+8350,-4280,+8250,+8350,-8190,+10650,-5770,8230,-0,0,20210827,-0.60,20200827,+93.93,+8300,2,+70,+0.85,548446,-59.46,원,161541,82.0
0,035900,JYP Ent.,12,500,179,35497,+3.01,+46200,-30300,15548,,+24.03,33180,52.64,832,17.3,7.98,30.16,5488,1444,441,296,+46200,-30200,-44500,+45000,-42900,+58300,-31400,44850,-0,0,20210809,-5.19,20201102,+45.03,-43800,5,-1050,-2.34,622935,-79.70,원,27482,77.4
0,025900,동화기업,12,500,106,20201,+1.76,+87100,-43200,14626,,+42.46,52910,62.29,1162,4.3,2.55,15.67,28389,7449,668,403,+87100,-31500,-70800,+73500,-70800,+92900,-50100,71500,-0,0,20210813,-16.88,20201027,+129.84,+72400,2,+900,+1.26,91174,-72.69,원,4251,21.0
0,034230,파라다이스,12,500,470,90943,+1.87,+20100,-14800,15187,,+5.19,12610,,-1299,-9.8,1.30,165.25,12853,4539,-862,-1669,+20100,-12550,-16450,+16750,-16300,+21550,-11650,16600,-0,0,20210610,-16.92,20201102,+33.07,+16700,2,+100,+0.60,480850,-86.44,원,43352,47.7
0,039030,이오테크닉스,12,500,62,12320,+1.88,+136300,-97400,14968,,+15.84,91960,70.11,1733,5.4,3.65,27.11,33271,3251,385,216,+136300,-81200,-120000,+122400,-119100,+157300,-84700,121000,-0,0,20210406,-10.86,20201027,+49.63,+121500,2,+500,+0.41,75554,-76.16,원,8343,67.7
0,056190,에스에프에이,12,500,180,35909,+0.69,+47300,-36500,13502,,+18.38,28800,12.47,3015,11.3,1.30,4.22,28838,15512,1673,1186,+47300,-31900,-37650,37900,-37300,+49250,-26550,37900,-0,0,20210217,-20.51,20200907,+17.87,-37600,5,-300,-0.79,72446,-84.35,원,16503,46.0
0,214150,클래시스,12,100,65,64717,+1.36,+27200,-12450,15467,,+11.41,17830,40.52,590,36.1,12.50,34.62,1913,765,406,382,+27200,-11800,-23950,+24300,-23650,+31300,-16900,24100,-0,0,20210819,-12.13,20200925,+102.54,-23900,5,-200,-0.83,285487,-44.54,원,16831,26.0
0,000150,두산,12,5000,993,16524,+0.58,+118500,-46250,14756,,+12.01,66230,,-25839,-34.3,1.04,10.81,86147,169693,2750,-9639,+118500,-41600,+89700,+91100,-89200,+116000,-62700,89500,-0,0,20210715,-24.64,20200827,+114.66,-89300,5,-200,-0.22,37985,+100.15,원,5718,34.6
0,192820,코스맥스,12,500,57,11350,+0.66,+142000,-92700,15095,,+24.33,93980,62.52,2127,6.2,3.89,17.91,34148,13829,666,-291,+142000,-92200,-126500,+133500,-125500,+165000,-89000,127000,-0,0,20210712,-6.34,20201207,+44.25,+133000,2,+6000,+4.72,146581,+115.95,원,8172,72.0
0,001740,SK네트웍스,12,2500,6205,248188,+0.79,+6410,-4820,13923,,+12.94,4210,40.38,139,1.6,0.63,5.48,8972,106259,1239,421,+6410,-4480,-5480,+5650,-5470,+7210,-3890,5550,-0,0,20210609,-12.48,20201030,+25.22,+5610,2,+60,+1.08,600615,+137.31,원,113758,45.8
0,006650,대한유화,12,5000,410,6500,+2.42,+405500,-208500,14885,,+13.83,166870,11.70,19576,6.9,0.78,3.89,291963,18827,1702,1272,+405500,-112500,-224000,+231500,-221000,+293000,-158000,225500,-0,0,20210217,-43.53,20200826,+103.56,+229000,2,+3500,+1.55,42923,-93.89,원,3289,50.6
0,010780,아이에스동서,12,500,154,30893,+1.38,+69400,-46900,14921,,+4.54,35660,12.01,4022,10.9,1.26,9.55,38474,12004,2090,1416,+69400,-37350,48200,+48950,-47950,+62600,-33750,48200,-0,0,20210429,-30.40,20201030,+29.32,+48300,2,+100,+0.21,71386,+123.07,원,13492,43.7
0,016380,KG동부제철,12,5000,5000,100009,+1.08,+25150,-10150,15001,,+1.65,10360,22.47,668,7.2,1.54,14.08,9717,23424,1108,669,+25150,-7600,-14650,+15100,-14400,+19200,-10400,14800,-0,0,20210512,-40.36,20201030,+97.37,+15000,2,+200,+1.35,156594,+128.88,원,28002,28.0
0,031430,신세계인터내셔날,12,5000,357,7140,+0.83,+238000,-159000,14137,,+5.27,152490,27.77,7131,8.2,2.21,17.95,89514,13255,338,510,+238000,-134000,+196000,+200000,-195000,+254000,-137000,195500,-0,0,20210531,-16.81,20200901,+47.76,+198000,2,+2500,+1.28,17776,-40.70,원,3281,46.0
